t(s),m1_X (m),m1_Y (m),m1_Z(m),m2_X (m),m2_Y (m),m2_Z(m),m3_X (m),m3_Y (m),m3_Z(m)
0.51,0,0,0,0.1237993954,0.1237993954,-0.4683454061,0.1900334379,0.1900334379,-0.4333296493
0.52,0,0,0,0.1241386654,0.1241386654,-0.468165765,0.1903473028,0.1903473028,-0.4330540481
0.53,0,0,0,0.1244213001,0.1244213001,-0.4680156837,0.1906087128,0.1906087128,-0.4328240256
0.54,0,0,0,0.1246304956,0.1246304956,-0.4679043483,0.1908021631,0.1908021631,-0.4326535208
0.55,0,0,0,0.1247514125,0.1247514125,-0.467839898,0.1909139654,0.1909139654,-0.4325548701
0.56,0,0,0,0.124771698,0.124771698,-0.4678290786,0.1909327207,0.1909327207,-0.4325383131
0.57,0,0,0,0.1246819202,0.1246819202,-0.467876947,0.1908497126,0.1908497126,-0.4326115745
0.58,0,0,0,0.1244759037,0.1244759037,-0.4679866438,0.1906592096,0.1906592096,-0.4327795416
0.59,0,0,0,0.1241509536,0.1241509536,-0.468159248,0.1903586694,0.1903586694,-0.4330440555
0.6,0,0,0,0.1237079629,0.1237079629,-0.4683937231,0.1899488385,0.1899488385,-0.4334038273
0.61,0,0,0,0.1231513996,0.1231513996,-0.468686959,0.189433745,0.189433745,-0.4338544831
0.62,0,0,0,0.1224891729,0.1224891729,-0.4690339061,0.188820584,0.188820584,-0.4343887362
0.63,0,0,0,0.121732383,0.121732383,-0.4694277941,0.1881194983,0.1881194983,-0.4349966766
0.64,0,0,0,0.1208949608,0.1208949608,-0.4698604228,0.1873432591,0.1873432591,-0.4356661641
0.65,0,0,0,0.1199932086,0.1199932086,-0.4703225061,0.1865068553,0.1865068553,-0.4363833016
0.66,0,0,0,0.1190452557,0.1190452557,-0.4708040507,0.1856270031,0.1856270031,-0.4371329677
0.67,0,0,0,0.1180704469,0.1180704469,-0.4712947476,0.1847215893,0.1847215893,-0.4378993822
0.68,0,0,0,0.1170886828,0.1170886828,-0.4717843583,0.1838090666,0.1838090666,-0.4386666777
0.69,0,0,0,0.1161197363,0.1161197363,-0.4722630768,0.1829078211,0.1829078211,-0.4394194556
0.7,0,0,0,0.115182568,0.115182568,-0.4727218549,0.1820355338,0.1820355338,-0.4401433049
0.71,0,0,0,0.1142946665,0.1142946665,-0.4731526798,0.1812085602,0.1812085602,-0.4408252663
0.72,0,0,0,0.1134714379,0.1134714379,-0.4735487995,0.1804413514,0.1804413514,-0.4414542302
0.73,0,0,0,0.1127256675,0.1127256675,-0.4739048932,0.1797459403,0.1797459403,-0.4420212596
0.74,0,0,0,0.112067075,0.112067075,-0.474217188,0.1791315129,0.1791315129,-0.4425198326
0.75,0,0,0,0.1115019801,0.1115019801,-0.4744835265,0.1786040839,0.1786040839,-0.442946004
0.76,0,0,0,0.1110330924,0.1110330924,-0.4747033861,0.1781662891,0.1781662891,-0.4432984851
0.77,0,0,0,0.1106594331,0.1106594331,-0.4748778577,0.1778173038,0.1778173038,-0.4435786435
0.78,0,0,0,0.1103763919,0.1103763919,-0.4750095833,0.1775528914,0.1775528914,-0.4437904252
0.79,0,0,0,0.1101759169,0.1101759169,-0.475102657,0.177365579,0.177365579,-0.4439402018
0.8,0,0,0,0.1100468304,0.1100468304,-0.4751624882,0.1772449539,0.1772449539,-0.4440365442
0.81,0,0,0,0.109975257,0.109975257,-0.4751956289,0.1771780673,0.1771780673,-0.4440899289
0.82,0,0,0,0.1099451488,0.1099451488,-0.4752095627,0.1771499297,0.1771499297,-0.4441123786
0.83,0,0,0,0.1099388873,0.1099388873,-0.47521246,0.1771440779,0.1771440779,-0.4441170469
0.84,0,0,0,0.1099379385,0.1099379385,-0.475212899,0.1771431912,0.1771431912,-0.4441177542
0.85,0,0,0,0.1099235382,0.1099235382,-0.4752195613,0.1771297331,0.1771297331,-0.4441284896
0.86,0,0,0,0.1098773823,0.1098773823,-0.4752409092,0.1770865962,0.1770865962,-0.4441628923
0.87,0,0,0,0.1097822968,0.1097822968,-0.4752848563,0.1769977258,0.1769977258,-0.4442337337
0.88,0,0,0,0.1096228669,0.1096228669,-0.475358448,0.1768487033,0.1768487033,-0.444352419
0.89,0,0,0,0.1093860003,0.1093860003,-0.4754675655,0.1766272682,0.1766272682,-0.4445285325
0.9,0,0,0,0.10906141,0.10906141,-0.475616671,0.1763237646,0.1763237646,-0.4447694459
0.91,0,0,0,0.1086419981,0.1086419981,-0.4758086091,0.1759314969,0.1759314969,-0.4450800117
0.92,0,0,0,0.1081241297,0.1081241297,-0.4760444781,0.1754469855,0.1754469855,-0.445462356
0.93,0,0,0,0.1075077881,0.1075077881,-0.476323578,0.1748701145,0.1748701145,-0.4459157836
0.94,0,0,0,0.1067966053,0.1067966053,-0.4766434413,0.1742041673,0.1742041673,-0.4464367998
0.95,0,0,0,0.1059977676,0.1059977676,-0.476999944,0.1734557466,0.1734557466,-0.4470192479
0.96,0,0,0,0.1051217974,0.1051217974,-0.4773874898,0.1726345837,0.1726345837,-0.4476545555
0.97,0,0,0,0.1041822195,0.1041822195,-0.4777992573,0.1717532385,0.1717532385,-0.4483320757
0.98,0,0,0,0.1031951192,0.1031951192,-0.4782274927,0.1708266998,0.1708266998,-0.4490395052
0.99,0,0,0,0.1021786089,0.1021786089,-0.4786638317,0.1698718971,0.1698718971,-0.4497633568
1,0,0,0,0.1011522185,0.1011522185,-0.479099632,0.1689071383,0.1689071383,-0.4504894641
1.01,0,0,0,0.1001362319,0.1001362319,-0.4795262976,0.1679514913,0.1679514913,-0.4512034942
1.02,0,0,0,0.09915099,0.09915099,-0.4799355815,0.1670241308,0.1670241308,-0.4518914465
1.03,0,0,0,0.0982161879,0.0982161879,-0.4803198527,0.1661436729,0.1661436729,-0.4525401197
1.04,0,0,0,0.0973501896,0.0973501896,-0.4806723221,0.1653275212,0.1653275212,-0.4531375304
1.05,0,0,0,0.0965693865,0.0965693865,-0.4809872214,0.1645912517,0.1645912517,-0.4536732742
1.06,0,0,0,0.0958876243,0.0958876243,-0.4812599371,0.1639480573,0.1639480573,-0.4541388213
1.07,0,0,0,0.0953157184,0.0953157184,-0.4814871002,0.1634082771,0.1634082771,-0.4545277438
1.08,0,0,0,0.0948610788,0.0948610788,-0.4816666393,0.1629790282,0.1629790282,-0.4548358745
1.09,0,0,0,0.0945274569,0.0945274569,-0.4817977997,0.1626639552,0.1626639552,-0.4550613974
1.1,0,0,0,0.0943148253,0.0943148253,-0.4818811341,0.1624631089,0.1624631089,-0.4552048731
1.11,0,0,0,0.0942193947,0.0942193947,-0.4819184696,0.1623729582,0.1623729582,-0.4552692004
1.12,0,0,0,0.0942337667,0.0942337667,-0.4819128494,0.1623865355,0.1623865355,-0.4552595152
1.13,0,0,0,0.0943472183,0.0943472183,-0.4818684518,0.1624937082,0.1624937082,-0.4551830286
1.14,0,0,0,0.0945461042,0.0945461042,-0.4817904818,0.1626815676,0.1626815676,-0.4550488052
1.15,0,0,0,0.0948143648,0.0948143648,-0.4816850345,0.1629349157,0.1629349157,-0.4548674824
1.16,0,0,0,0.0951341174,0.0951341174,-0.4815589262,0.1632368339,0.1632368339,-0.4546509344
1.17,0,0,0,0.0954863107,0.0954863107,-0.4814194937,0.1635693084,0.1635693084,-0.4544118866
1.18,0,0,0,0.0958514167,0.0958514167,-0.4812743623,0.1639138897,0.1639138897,-0.4541634876
1.19,0,0,0,0.096210136,0.096210136,-0.4811311874,0.164252361,0.164252361,-0.4539188515
1.2,0,0,0,0.0965440901,0.0965440901,-0.4809973777,0.1645673916,0.1645673916,-0.4536905854
1.21,0,0,0,0.096836477,0.096836477,-0.4808798118,0.1648431522,0.1648431522,-0.45349032
1.22,0,0,0,0.0970726677,0.0970726677,-0.4807845613,0.1650658725,0.1650658725,-0.4533282646
1.23,0,0,0,0.0972407226,0.0972407226,-0.4807166356,0.1652243212,0.1652243212,-0.4532128058
1.24,0,0,0,0.097331812,0.097331812,-0.4806797653,0.1653101963,0.1653101963,-0.4531501715
1.25,0,0,0,0.0973405265,0.0973405265,-0.4806762359,0.1653184117,0.1653184117,-0.4531441774
1.26,0,0,0,0.0972650671,0.0972650671,-0.4807067853,0.1652472727,0.1652472727,-0.4531960699
1.27,0,0,0,0.0971073103,0.0971073103,-0.4807705696,0.1650985363,0.1650985363,-0.4533044746
1.28,0,0,0,0.0968727438,0.0968727438,-0.4808652025,0.164877353,0.164877353,-0.4534654529
