t(s),m1_X (m),m1_Y (m),m1_Z(m),m2_X (m),m2_Y (m),m2_Z(m),m3_X (m),m3_Y (m),m3_Z(m)
2.58,0,0,0,0.1095277764,0.1095277764,-0.4754022848,0.1767598123,0.1767598123,-0.4444231514
2.59,0,0,0,0.1089675051,0.1089675051,-0.4756597162,0.1762359473,0.1762359473,-0.4448390515
2.6,0,0,0,0.1083082066,0.1083082066,-0.4759607807,0.1756192257,0.1756192257,-0.4453265938
2.61,0,0,0,0.1075547169,0.1075547169,-0.476302389,0.1749140468,0.1749140468,-0.4458813211
2.62,0,0,0,0.1067153654,0.1067153654,-0.4766798313,0.1741280736,0.1741280736,-0.4464961679
2.63,0,0,0,0.1058017177,0.1058017177,-0.4770869869,0.1732720064,0.1732720064,-0.4471617421
2.64,0,0,0,0.1048282055,0.1048282055,-0.477516591,0.1723592494,0.1723592494,-0.447866697
2.65,0,0,0,0.1038116538,0.1038116538,-0.4779605434,0.1714054821,0.1714054821,-0.4485981737
2.66,0,0,0,0.1027707209,0.1027707209,-0.4784102401,0.1704281459,0.1704281459,-0.4493422907
2.67,0,0,0,0.1017252693,0.1017252693,-0.4788569089,0.1694458628,0.1694458628,-0.4500846578
2.68,0,0,0,0.1006956893,0.1006956893,-0.4792919322,0.1684778044,0.1684778044,-0.4508108903
2.69,0,0,0,0.0997021982,0.0997021982,-0.4797071433,0.167543033,0.167543033,-0.4515071032
2.7,0,0,0,0.0987641406,0.0987641406,-0.4800950834,0.1666598384,0.1666598384,-0.452160366
2.71,0,0,0,0.0978993157,0.0978993157,-0.4804492148,0.1658450952,0.1658450952,-0.4527591068
2.72,0,0,0,0.0971233559,0.0971233559,-0.4807640871,0.1651136652,0.1651136652,-0.4532934537
2.73,0,0,0,0.0964491809,0.0964491809,-0.4810354571,0.1644778677,0.1644778677,-0.4537555092
2.74,0,0,0,0.0958865477,0.0958865477,-0.4812603661,0.1639470413,0.1639470413,-0.4541395548
2.75,0,0,0,0.095441714,0.095441714,-0.4814371802,0.1635272129,0.1635272129,-0.4544421869
2.76,0,0,0,0.0951172286,0.0951172286,-0.4815655985,0.1632208886,0.1632208886,-0.4546623836
2.77,0,0,0,0.0949118556,0.0949118556,-0.4816466333,0.1630269757,0.1630269757,-0.4548015066
2.78,0,0,0,0.0948206367,0.0948206367,-0.4816825653,0.1629408384,0.1629408384,-0.4548632392
2.79,0,0,0,0.0948350879,0.0948350879,-0.4816768753,0.1629544849,0.1629544849,-0.4548534618
2.8,0,0,0,0.0949435241,0.0949435241,-0.48163415,0.1630568788,0.1630568788,-0.4547800662
2.81,0,0,0,0.0951314978,0.0951314978,-0.4815599612,0.1632343606,0.1632343606,-0.4546527104
2.82,0,0,0,0.0953823365,0.0953823365,-0.4814607147,0.1634711637,0.1634711637,-0.4544825159
2.83,0,0,0,0.0956777569,0.0956777569,-0.4813434675,0.1637500029,0.1637500029,-0.4542817112
2.84,0,0,0,0.0959985339,0.0959985339,-0.4812157136,0.1640527127,0.1640527127,-0.4540632278
2.85,0,0,0,0.0963251994,0.0963251994,-0.48108514,0.1643609123,0.1643609123,-0.4538402593
2.86,0,0,0,0.0966387454,0.0966387454,-0.4809593598,0.1646566704,0.1646566704,-0.4536257949
2.87,0,0,0,0.0969213067,0.0969213067,-0.4808456307,0.164923148,0.164923148,-0.4534321454
2.88,0,0,0,0.0971567988,0.0971567988,-0.4807505724,0.1651451968,0.1651451968,-0.4532704799
2.89,0,0,0,0.0973314898,0.0973314898,-0.4806798958,0.1653098925,0.1653098925,-0.4531503932
2.9,0,0,0,0.0974344868,0.0974344868,-0.4806381607,0.1654069874,0.1654069874,-0.4530795262
2.91,0,0,0,0.0974581218,0.0974581218,-0.480628577,0.165429267,0.165429267,-0.4530632574
2.92,0,0,0,0.0973982226,0.0973982226,-0.4806528607,0.1653728021,0.1653728021,-0.4531044832
2.93,0,0,0,0.0972542631,0.0972542631,-0.4807111572,0.1652370869,0.1652370869,-0.4532034976
2.94,0,0,0,0.0970293851,0.0970293851,-0.480802035,0.165025061,0.165025061,-0.4533579805
2.95,0,0,0,0.0967302939,0.0967302939,-0.4809225515,0.1647430133,0.1647430133,-0.4535630928
2.96,0,0,0,0.096367028,0.096367028,-0.4810683858,0.1644003715,0.1644003715,-0.4538116742
2.97,0,0,0,0.0959526125,0.0959526125,-0.4812340307,0.1640093818,0.1640093818,-0.4540945335
2.98,0,0,0,0.0955026061,0.0955026061,-0.4814130289,0.1635846896,0.1635846896,-0.4544008128
2.99,0,0,0,0.0950345558,0.0950345558,-0.4815982417,0.1631428323,0.1631428323,-0.4547184102
